considerable|adj. 重要的；相当大的；可观的
dismiss|v. 解雇；解散；摒除；不理会；（法律）驳回
dismissive|adj. 轻蔑的；鄙视的
dismissal|n. 解雇；开除；免职
draft|n. 草稿；v. 起草；草拟
drudgery|n. 单调乏味的苦差事
get fired|phrase. 被解雇；炒鱿鱼
hand over|phrase. 交出； 交付
hectic|adj. 紧张忙碌的；忙乱的
busy|adj. 忙碌的；忙于
internship|n. 实习；见习
log|n. 原木；木头；航海日志；v. 伐木；（正式地）记载
name plate|phrase. 铭牌；商标
occupation|n. 占领；占有；职业；消遣
officeholder|n. 公务员
officially|adv. 正式地；官方地
overtime|n. 超时；加班；加班费；v. 使超时；adv. 超时地
part-time job|phrase. 兼职工作
position sought|phrase. 谋求的职位
profession|n. 职业；专业
quit office|phrase. 离职；辞职
quit|v. 停止；辞职； 离开
relevant document|phrase. 相关文件
resign|v. 辞职；使…顺从于（做）某事
resignation letter|phrase. 辞职信
sketch|n. 草图；素描；概述；v. 草拟；速写；简述
undertaking|n. 事业；企业；承诺；保证；v. 承担；从事；保证；“undertake”的现在分词
vocation|n. 职业；行业；使命
summarise|v. 总结；摘要；概述
generalize|v. 概括；归纳；泛论；推广
statement|n. 声明；陈述
grammarian|n. 语法专家；文法家；语言学专家
describe|v. 描述
description|n. 描述；形容
prescribe|v. 开药方；规定
variation|n. 变化；变动
halt|n. 停顿下来；v. 暂停；中断
affix|v. 附加；粘贴；署名；n. 附加物；词Ð
antonym|n. 反义词
auxiliary verb|phrase. 助动词
bilingualism|n. 双语
code-switching|phrase. 代码转换
coinage|n. 造币；货币；货币制度；新造的词语
cultural background|phrase. 文化背景
cultural identity|phrase. 文化认同；文化身份；文化特性
cultural conflict|phrase. 文化冲突
dialect|n. 方言；地方话
dialectal variation|phrase. 方言变异
dominant language|phrase. 主导语言
Indo-European language|phrase. 印欧语
intonation|n. 语调；声调；音准
Latin|n. 拉丁语；adj. 拉丁语的；拉丁语系国家的
multilingual|adj. 使用多种语言的；说多种语言的
paraphrase|v. 意译；解释；改述；n. 释义；意译；改述
prefix|n. 前Ð；v. 在…前面加
Sanskrit|n. 梵语
suffix|n. 后Ð；词尾
synonym|n. 同义词
accentuate|v. 重读；强调；突出
accentuation|n. 重读；强调
clarification|n. 澄清；阐明；净化
convey|v. 传达；表达；运送；输送
delineate|v. 描画；划定（边界）
depict|v. 描述；描绘
represent|v. 代表；表现；体现；相当于
picture|n. 图画；照片；v. 想象；描述
elucidate|v. 阐明；说明
emphasize|v. 强调；着重
emphatic|adj. 强调的；明确表示的；加强语气的
emphasis|n. 强调；重点
enunciate|v. （清楚地）发音；清楚地表明；阐明
exemplify|v. 举例说明；例证；例示
exposition|n. 博览会；展览会；阐述
expound|v. 详细说明；阐述
highlight|n. ¸突出的部分；v. 突出；强调
illuminate|v. 照亮；阐明；解释
insinuate|v. 暗示；迂回
interpretation|n. 解释；口译
explanation|n. 解释；说明；阐述
narrate|v. 叙述；给（电视或电影）作旁白
reiterate|v. 反复地说；重申；重述
specify|v. 详细说明；指定；阐述
stress|n. 压力；紧张；强调；重音；v. 着重；强调
underline|v. 在…下面划线；强调
interdisciplinary|adj. 各学科间的；跨学科的
contradictory|adj. 矛盾的；反驳的；抗辩的；n. 对立物；矛盾因素
clack|v. 发出哒哒声；n. 哒哒声
heel|n. 足跟；脚后跟
pavement|n. 路面；人行道
hiss|v. 发嘶嘶声；发嘘声；n. 嘶嘶声；嘘声
intrusive|adj. 侵入的；打搅的；闯入的
relax|v. 放松；松懈
bark|v. 狗吠；咆哮；厉声说；n. 犬吠声；树皮
brittle|adj. 硬但易碎的；脆弱的；尖利的
brittleness|n. 脆性；易碎
chink|n. 裂缝；叮铛声；v. 叮当响
clash|n. 碰撞；撞击声；冲突；v. 发出（金属）撞击声；猛撞；冲突
click|v. 发出咔哒声；点击；n. 咔哒声；点击
crack|n. 裂缝；裂纹；噼啪声；v. 断裂；破裂；打击；使崩溃
crash|v. 碰撞；坠毁；崩溃；n. 碰撞；坠毁；崩溃
scream|n. 尖锐刺耳的声音；v. 尖叫；呐喊
hum|n. 嗡嗡声；v. 嗡嗡叫；哼
snap|v. 突然断裂；劈啪作响；猛然咬；快速地说；拍照；n. 啪嗒声；快照；adj. 突然的；匆忙的；adv. 劈啪作响地
stroke|n. 一击；打击；中风； 轻抚；划水动作；钟鸣；v. 轻抚
strike|v. 击打；罢工；侵袭；突然想到；划（火柴）；n. 罢工；袭击
thunder|n. 雷；雷声；v. 打雷；雷鸣；怒吼
thunderstorm|n. 雷雨；雷暴雨
thundercloud|n. 雷雨云
whisper|v. 耳语；低语；n. 耳语；低语；飒飒的声音
whistle|v. 吹口哨；鸣汽笛；n. 口哨声；汽笛声
infringe|v. 侵犯；违反；侵害
interfere|v. 干涉；干预；干扰
interference|n. 干扰；干涉；妨碍
interpose|v. 置于…之间；插入；插嘴；介入
intervene|v. 干涉；介入；打岔；干扰
obstacle|n. 障碍
animate|adj. 有生命的；有活力的；v. 使具活力；做成动画
bouncing|adj. 健壮的；精神饱满的；v. 弹跳；反弹；“bounce”的现在分词
frisky|adj. 欢跃的；活泼的
frolicsome|adj. 嬉闹的；爱闹着玩的
playful|adj. 顽皮的；爱玩耍的；嬉戏的
vibrant|adj. 振动的；有活力的；明快的
vivacious|adj. 活泼的；有生气的
contradict|v. 反驳；相矛盾
contradiction|n. 矛盾；不一致；反驳
discord|n. 不一致；不和；纷争
friction|n. 摩擦；不和；争执
acoustician|n. 声学家
acoustics technology|phrase. 声学技术
audible|adj. 听得见的
audio|adj. 音频的；声音的
auditory|adj. 听的；听觉的
echo|n. 回声；v. 回响
harmonic|n. 和声；谐波；adj. 调和的；和声的
hydrophone|n. 水听器
infrasound|n. 次声
mechanical wave|phrase. 机械波
rarefaction|n. 稀疏；疏松
rarefy|v. 使稀薄；稀释；精炼
resonate|v. 共鸣；共振
reverberation|n. 回响；反射
reverberate|v. 回响；反响；回荡
sonar|n. 声纳
sonic|adj. 声波的；声音的
sound waves|phrase. 声波
supersonic|adj. 超音速的
ultrasonic frequency|phrase. 超声频率
ultrasound|n. 超声波
vocalization|n. 发声；嗓音；说出的话
wave motion|phrase. 波动
pagoda|n. 塔；宝塔
taper|n. 细蜡烛；灯芯；渐减；逐渐尖细；v. 逐渐变细；逐渐减少
floor plan|phrase. 平面图
weight|n. 重量；砝码；秤锤；重物；负担；重要性；v. 使负担；装载过重；视…为重要
corresponding|adj. 符合的；相应的；v. 符合；通信；“correspond”的现在分词
pillar|n. 柱子；栋梁
aisle|n. 过道；通道；走廊
walkway|n. 走道；人行道
amphitheatre|n. 阶梯教室
architect|n. 建筑师；设计者；创造者
architectural|adj. 建筑学的；建筑方面的
architecture|n. 体系结构；建筑学；建筑设计
archway|n. 拱道；拱门
background wall|phrase. 背景墙
bay window|phrase. 飘窗
building technique|phrase. 建筑技术
ceiling|n. 天花板
chamber|n. 房间；室；腔；大会议室；议院
circus|n. 马戏团
civil engineering|phrase. 土木工程
colonnade|n. 柱廊
decorate|v. 装饰；装修
decorative|adj. 装饰性的；作装饰用的
ornamental|adj. 装饰性的；点Ð的；n. 观赏植物；装饰物
dome|n. 穹顶；圆屋顶
downcomer|n. 下水管
draftsman|n. 绘图员；制图员；起草员
elevation|n. 提升；海拔；高地；立面图
elevate|v. 举起；提高；提升；振奋
lay the foundation|phrase. 奠定基础；打地基
ledge|n. 架状突出物；壁架；暗礁
lintel|n. 过梁
log structure|phrase. 木结构
metal frame|phrase. 金属框架
monumental architecture|phrase. 纪念碑建筑
ornament|n. 装饰；装饰品；v. 装饰；美化
plane graph|phrase. 平面图
rebuild|v. 重建；重新组建
reconstruction|n. 重建；重新修建
residential|adj. 住所的
restructure|v. 重建；重构
roof|n. 屋顶；顶部；v. 给…盖顶
structural|adj. 结构（或构造）上的
subtle design|phrase. 精致的设计
vault|n. 拱顶；墓穴；金库；撑竿跳；v. 跳跃
vaulted|adj. 拱形的；有拱顶的；v. 跳跃；“vault”的过去式和过去分词
wing|n. 翅膀；翼
brick|n. 砖；砖块
cement|n. 水泥；胶合剂；黏固粉；v. 用水泥涂；粘牢；巩固
composite board|phrase. 复合板
granite|n. 花岗岩
marble|n. 大理石；弹珠；理智；adj. 大理石的
monolith|n. 独块巨石；独石碑
mortar|n. 臼；研钵；灰浆；迫击炮
plaster|n. 灰泥；膏药；熟石膏；v. 涂以灰泥；敷以膏药
plasterboard|phrase. 石膏板
slate|n. 板岩；石板瓦；候选人名单；v. 铺石板；预定；安排；严厉批评；adj. 板岩色的；深蓝灰色的
wood|n. 木材；木头；树林
baroque|adj. 巴洛克式的；奇形怪状的；n. 巴洛克式；怪异型
byzantine|adj. 拜占庭风格的；错综复杂的
classical architecture|phrase. 古典建筑
rococo|adj. 洛可可式的；旧式的；过分修饰的；n. 洛可可式
Romanesque architecture|phrase. 浪漫建筑
accident|n. 意外；事故；意外事件
occur|v. 发生；出现
occurrence|n. 发生的事；发生
federal|adj. 联邦的；联邦制的；联邦政府的
aviation|n. 航空；航空学；飞行（术）
administration|n. 管理；行政
oversee|v. 监督；监视
aircraft|n. 航空器；飞行器
congested|adj. 拥挤的；堵塞的；v. 充满；拥挤；“congest” 的过去式和过去分词
congestion|n. 堵塞；充塞；充血；淤血
astronaut|n. 宇航员；太空人
spaceman|n. 太空人；宇航员
embark|v. （使）上船或飞机；（使）从事
enroute|n. 在途中
microwave|n. 微波；微波炉；v. 用微波炉加热
navigation|n. 导航；航行；航海
navigation monitor|phrase. 航行检测仪
observatory|n. 天文台；气象台
satellite communication|phrase. 卫星通信
shuttle|n. 梭子；穿梭；往返移动之物；航天飞机；v. 穿梭移动；往返运送
spaceship|n. 宇宙飞船；太空船
telescope|n. 望远镜
veer|v. 改变方向；转向；n. 转向
block up|phrase. 封锁
detour|n. 迂回路；绕道；v. 绕路而行
devious|adj. 不直接的；不正直的；迂回的
deviousness|n. 迂回；曲折
GPS|abbr. 全球定位系统；“Global Position System”的缩写
jostle|v. 挤；推；撞；争夺；n. 挤拥；推撞
muddy|adj. 泥泞的；模糊不清的；v. 使沾上泥；弄糊涂
orderly|adj. 有秩序的；整齐的
overcrowd|v. 使（过分）拥挤；挤满
overcrowded|adj. 挤满的；过度拥挤的
overspeed|n. 超速；adj.. 超速的；v. (使)超速运行
roundabout way|phrase. 绕路
slippery|adj. 滑的；狡猾的
smoothly|adv. 顺利地；平稳地；顺畅地
smooth|adj. 平坦的；平滑的；v. 使平坦；使平滑
traffic control|phrase. 交通管理
traffic jam|phrase. 交通堵塞
administrative|adj. 管理的；行政的
allege|v. 宣称；断言；声称
alleged|adj. 声称的；被断言的；所谓的；被指称的；涉嫌的；v. 宣称；断言；声称；“allege”的过去式和过去分词
charter|n. 宪章；许可证；包租；v. 包租（汽车、飞机等）；特许
enact|v. 制定（法律）；通过（法律）；扮演（角色）
enactment|n. 制定；通过；上演
governance|n. 治理；管理方法；统治方式
macro-control|n. 宏观调控
mandate|n. 授权；任期；委任；命令；v. 授权；委任
plenary|adj. 全体参加的；无限的；完全的；n. 全会；全体会议
pragmatic|adj. 务实的；实事求是的；实用主义的
prohibit|v. 禁止；妨碍
prohibition|n. 禁止；禁令；诉讼中止令
safeguard|n. 保护措施；v. 保卫；保护
social security|phrase. 社会保障；社会保险
supervise|v. 监督；管理；指导
viable|adj. 可行的；可实施的
tourist|n. 旅游者；观光者
flock|n. 群；v. 聚集；群集
far-flung|adj. 分布广的；范围广的；遥远的
gaze|v. 凝视；注视；n. 凝视；注视
marvel|n. 奇异的事物；令人惊异的人（或事）；v. 惊异于；惊异
marvelous|adj. 极好的；绝妙的；令人惊异的
reminder|n. 提醒人的事物；通知单；提示信
ingenuity|n. 独创力；聪明才智
artistry|n. 艺术性；艺术修养；艺术才能；技艺
ancestral hall|phrase. 宗祠；祠堂
ancestral temple|phrase. 祖庙；宗祠
ancient architecture|phrase. 古代建筑
ancient bridge|phrase. 古桥
ancient dwelling|phrase. 古民居
ancient water infrastructure|phrase. 古代水利基础设施
bridge|n. 桥；桥梁
castle|n. 城堡
catacomb|n. 地下墓穴
Chinese ancient academy|phrase. 中国古代书院
city defense project|phrase. 城市防御工程
classical garden|phrase. 古典园林
ecclesiastical building|phrase. 宗教建筑
folk custom|phrase. 民间习俗
Great Wall|n. 长城
memorial hall|phrase. 纪念堂；纪念馆
military defense project|phrase. 军事防御项目
mosque|n. 清真寺
museum|n. 博物馆
national custom|phrase. 国家风俗；民族风俗
palace|n. 宫殿；王宫
pavilion|n. 大帐蓬；亭；阁；看台；馆；v. 搭帐蓬
religious activity|phrase. 宗教活动
religious art|phrase. 宗教艺术
temple|n. 庙宇；太阳穴
Temple of Heaven|n. 天坛
Temple of Emperor Qin Shihuang|n. 秦始皇庙
astound|v. 使震惊；使大惊
surprise|v. 使惊奇；使感到意外；n. 惊讶；惊喜；意外
astonish|v. 使惊讶
breathtaking|adj. 惊人的；激动人心的；惊险的
exciting|adj. 令人激动的；使人兴奋的；v. 使兴奋；使激动； “excite”的现在分词
dismay|n. （因惊愕）沮丧；失望；v. 使惊愕、沮丧
dumbfound|v. 使说不出话来；使目瞪口呆
fabulous|adj. 难以置信的；寓言般的；极巨大的；极好的
inconceivable|adj. 难以想象的；难以相信的
unthinkable|adj. 难以想象的；不可思议的；难以置信的
unbelievable|adj. 难以相信的；难以置信的
overwhelm|v. 使不知所措；使无法解决；击败；压垮；淹没
stupefy|v. 使惊呆；使惊愕；使神志不清
startle|v. （使）惊动；（使）惊愕；（使）吃惊
amaze|v. 使惊奇；使吃惊
striking|adj. 引人注目的；显著的；v. 打击；罢工；“strike”的现在分词
antiseptic|adj. 防腐的；抗菌的；n. 杀菌剂；防腐剂；消毒剂
property|n. 所有物；财产；属性；性质
tannin|n. 丹宁酸；鞣酸
hop|v. 单腿跳；跳跃；齐足跳；跃过；n. 跳跃；蹦跳；啤酒花
flourish|v. 茁壮成长；繁荣兴旺；挥动；n. 夸张动作
succumb|v. 屈服；屈从
waterborne|adj. 水运的；由饮用水传染的
dysentery|n. 痢疾
black tea|n. 红茶
chamomile tea|phrase. 菊花茶；甘菊茶
cocoa|n. 可可粉；可可饮料
coconut milk|phrase. 椰汁
coconut water|phrase. 椰子汁
diet cola|phrase. 低热量的可乐；不含糖的可乐
energy drink|phrase. 能量饮料；功能饮料
grapefruit flavor|phrase. 葡萄柚香精
green tea|phrase. 绿茶
ice water|phrase. 冰水
